bone0000,root
bone0001,pelvis
bone0002,base
bone0003,base_unknown_01_l
bone0004,bit_unknown_01
bone0006,base_unknown_02_l
bone0007,bit_unknown_02
bone0009,bit_unknown_03
bone0011,base_unknown_03_l
bone0012,bit_unknown_04
bone0014,bit_unknown_05
bone0016,bit_unknown_06
bone0018,bit_unknown_07
bone0020,base_unknown_01_r
bone0021,bit_unknown_08
bone0023,base_unknown_02_r
bone0024,base_unknown_03_r
bone0025,hips_lower
bone0026,hipsocket_r
bone0027,thigh_r
bone0028,knee_r
bone0029,calf_r
bone0030,foot_r
bone0032,hipsocket_l
bone0033,thigh_l
bone0034,knee_l
bone0035,calf_l
bone0036,foot_l
bone0038,waist_r
bone0040,waist_l
bone0042,waist_front_r
bone0043,waist_front_l
bone0044,waist_back
bone0046,waist_front
bone0048,hips_upper
bone0049,spine_01
bone0050,spine_02
bone0051,neck
bone0052,head
bone0053,head_top
bone0054,mouth
bone0055,hair_r
bone0056,hair_back
bone0057,hair_l
bone0058,eye_l
bone0059,eye_r
bone0060,clavicle_r
bone0061,pecs_r
bone0063,shoulder_r
bone0064,arm_upper_r
bone0065,arm_lower_r
bone0066,wrist_r
bone0067,hand_top_r
bone0068,hand_grasp_r
bone0069,thumb_r
bone0070,index_r
bone0071,knuckles_r
bone0072,elbow_r
bone0073,shoulder_socket_r
bone0074,clavicle_l
bone0075,pecs_l
bone0077,shoulder_l
bone0078,arm_upper_l
bone0079,arm_lower_l
bone0080,wrist_l
bone0081,hand_top_l
bone0082,thumb_l
bone0083,index_l
bone0084,knuckles_l
bone0085,hand_grasp_l
bone0086,elbow_l
bone0087,hand_item_l
bone0088,shoulder_socket_l
bone0089,unknown_01
bone0090,unknown_02
bone0091,unknown_03
bone0092,unknown_04
bone0093,unknown_05
